"","H1_PelletTriflic_Fl_R1","H1_PelletTriflic_Fl_R2","H1_PelletTriflic_Fl_R3","H1_SonicSupTriflic_V2_R1","H1_SonicSupTriflic_V2_R2","H1_SonicSupTriflic_V2_R3","H1_wholetriflic_R1","H1_wholetriflic_R2","H1_wholetriflic_R3"
"56357089",3.53636716115595,3.53636716115595,3.53636716115595,4.04331604612782,4.05519653128713,4.06477438079124,3.53636716115595,4.05825593198396,4.04432505426388
"56366728",4.32160798883823,4.23730870399678,4.13577200935745,5.05828106881807,5.00588226297064,5.029294948812,4.39031522905932,4.20563317524412,4.30880926163685
"56368815",4.56569078685438,4.53144830752614,4.22646439841367,4.71088002910851,4.4231362995326,4.36127269348482,4.30177351937556,4.29728861211499,3.53636716115595
"56375032",3.9377535473782,3.99491623669583,3.98736623506575,3.53636716115595,3.53636716115595,3.53636716115595,3.95174980122194,3.94908945436606,3.92111803983263
"56392217",3.53636716115595,3.53636716115595,3.53636716115595,3.94908945436606,4.00828880613727,4.01716151393556,3.53636716115595,4.00508895118836,4.04432505426388
"56393038",4.32160798883823,4.14529513173737,4.13577200935745,4.47605686932763,4.34690499301663,4.40034802603518,4.47555747227926,4.47012229911875,4.15539338167107
"56428754",3.53636716115595,3.53636716115595,3.53636716115595,3.77974845912715,3.53636716115595,3.7937080189076,3.74722024957899,3.53636716115595,3.53636716115595
"56431345",3.9377535473782,3.93984296783162,3.98736623506575,3.94908945436606,3.90720861963273,3.9673699839213,3.95174980122194,4.00508895118836,4.04432505426388
"56432794",4.04466311875441,3.88050486160421,3.87421786996274,3.53636716115595,3.53636716115595,3.53636716115595,3.66175413389045,3.58767015800609,3.77080736925675
"56434338",3.9377535473782,4.047165701541,3.98736623506575,3.53636716115595,3.53636716115595,3.53636716115595,4.30177351937556,4.15814002369993,4.30880926163685
"56435055",3.73713882203652,3.81446958001933,3.9329686128116,3.53636716115595,3.53636716115595,3.53636716115595,4.00801863990362,3.88893982300725,3.98466726063463
"56435565",4.04466311875441,3.65621456214349,3.9329686128116,3.53636716115595,3.53636716115595,3.53636716115595,3.66175413389045,3.66050274194027,3.59451943343147
